,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
549,2017,2,Santiago Del Estero,33,20,33
550,2017,2,Tierra Del Fuego,32,6190,33
551,2017,2,Tucumán,154,370,154
552,2017,1,Buenos Aires,3,110,3
553,2017,1,Capital Federal,1,80,1
554,2017,1,Catamarca,26,130,26
555,2017,1,Chaco,89,140,89
556,2017,1,Chubut,62,20,64
557,2017,1,Córdoba,641,1330,641
558,2017,1,Corrientes,89,120,89
559,2017,1,Entre Ríos,180,570,180
560,2017,1,Formosa,30,0,30
561,2017,1,Jujuy,43,10,43
562,2017,1,La Pampa,71,4550,72
563,2017,1,La Rioja,16,180,16
564,2017,1,Mendoza,169,10,171
565,2017,1,Misiones,98,0,98
566,2017,1,Neuquén,113,20,115
567,2017,1,Río Negro,100,10,101
568,2017,1,Salta,108,10,108
569,2017,1,San Juan,51,6200,52
570,2017,1,San Luis,13,3150,13
571,2017,1,Santa Cruz,26,3700,26
572,2017,1,Santa Fe,563,3620,563
573,2017,1,Santiago Del Estero,34,20,34
574,2017,1,Tierra Del Fuego,32,6190,33
575,2017,1,Tucumán,153,370,153
576,2016,4,Buenos Aires,3,110,3
577,2016,4,Capital Federal,1,80,1
578,2016,4,Catamarca,27,130,27
579,2016,4,Chaco,89,140,89
580,2016,4,Chubut,62,20,64
581,2016,4,Córdoba,636,1330,637
582,2016,4,Corrientes,88,120,88
583,2016,4,Entre Ríos,180,570,180
584,2016,4,Formosa,30,0,30
585,2016,4,Jujuy,43,10,43
586,2016,4,La Pampa,71,4600,72
587,2016,4,La Rioja,16,180,16
588,2016,4,Mendoza,169,10,171
589,2016,4,Misiones,97,0,97
590,2016,4,Neuquén,112,20,114
591,2016,4,Río Negro,100,10,101
592,2016,4,Salta,107,10,107
593,2016,4,San Juan,51,6200,52
594,2016,4,San Luis,13,3150,13
595,2016,4,Santa Cruz,26,3700,26
596,2016,4,Santa Fe,561,3620,562
597,2016,4,Santiago Del Estero,35,20,35
598,2016,4,Tierra Del Fuego,32,6190,33
599,2016,4,Tucumán,152,370,152
600,2016,3,Buenos Aires,3,110,3
601,2016,3,Capital Federal,1,80,1
602,2016,3,Catamarca,27,130,27
603,2016,3,Chaco,89,140,89
604,2016,3,Chubut,62,20,64
605,2016,3,Córdoba,642,1330,643
606,2016,3,Corrientes,88,120,88
607,2016,3,Entre Ríos,181,570,181
608,2016,3,Formosa,28,0,28
609,2016,3,Jujuy,43,10,43
610,2016,3,La Pampa,70,4610,70
611,2016,3,La Rioja,17,180,17
612,2016,3,Mendoza,169,10,171
613,2016,3,Misiones,98,0,98
614,2016,3,Neuquén,110,20,113
615,2016,3,Río Negro,100,10,101
616,2016,3,Salta,108,10,108
617,2016,3,San Juan,51,6200,52
618,2016,3,San Luis,13,3150,13
619,2016,3,Santa Cruz,26,3710,26
620,2016,3,Santa Fe,567,3860,567
621,2016,3,Santiago Del Estero,36,20,36
622,2016,3,Tierra Del Fuego,31,6190,32
623,2016,3,Tucumán,151,370,151
624,2016,2,Buenos Aires,3,130,3
625,2016,2,Capital Federal,1,100,1
626,2016,2,Catamarca,27,130,27
627,2016,2,Chaco,88,160,88
628,2016,2,Chubut,62,20,64
629,2016,2,Córdoba,635,2340,635
630,2016,2,Corrientes,87,240,87
631,2016,2,Entre Ríos,178,1790,178
632,2016,2,Formosa,29,10,29
633,2016,2,Jujuy,41,20,41
634,2016,2,La Pampa,68,4850,69
635,2016,2,La Rioja,17,180,17
636,2016,2,Mendoza,169,20,171
637,2016,2,Misiones,96,70,96
638,2016,2,Neuquén,108,20,111
639,2016,2,Río Negro,100,10,101
640,2016,2,Salta,105,30,105
641,2016,2,San Juan,51,6210,52
642,2016,2,San Luis,13,3170,13
643,2016,2,Santa Cruz,26,3560,26
644,2016,2,Santa Fe,564,6070,564
645,2016,2,Santiago Del Estero,37,30,37
646,2016,2,Tierra Del Fuego,31,6190,31
647,2016,2,Tucumán,149,410,149
648,2016,1,Buenos Aires,3,130,3
649,2016,1,Capital Federal,1,100,1
650,2016,1,Catamarca,26,130,26
651,2016,1,Chaco,87,160,87
652,2016,1,Chubut,62,20,64
653,2016,1,Córdoba,610,2340,610
654,2016,1,Corrientes,86,260,86
655,2016,1,Entre Ríos,175,1790,175
656,2016,1,Formosa,28,10,28
657,2016,1,Jujuy,40,20,40
658,2016,1,La Pampa,65,4870,66
659,2016,1,La Rioja,17,180,17
660,2016,1,Mendoza,169,20,171
661,2016,1,Misiones,93,70,93
662,2016,1,Neuquén,102,20,104
663,2016,1,Río Negro,99,10,100
664,2016,1,Salta,102,30,102
665,2016,1,San Juan,51,6210,52
666,2016,1,San Luis,13,3170,13
667,2016,1,Santa Cruz,26,3560,26
668,2016,1,Santa Fe,551,6180,552
669,2016,1,Santiago Del Estero,38,30,38
670,2016,1,Tierra Del Fuego,30,6190,30
671,2016,1,Tucumán,147,410,147
672,2015,4,Buenos Aires,3,130,3
673,2015,4,Capital Federal,1,100,1
674,2015,4,Catamarca,26,130,26
675,2015,4,Chaco,87,160,87
676,2015,4,Chubut,62,20,64
677,2015,4,Córdoba,626,2350,626
678,2015,4,Corrientes,85,260,85
679,2015,4,Entre Ríos,174,1800,174
680,2015,4,Formosa,28,10,28
681,2015,4,Jujuy,40,20,40
682,2015,4,La Pampa,66,3120,66
683,2015,4,La Rioja,17,180,17
684,2015,4,Mendoza,169,20,171
685,2015,4,Misiones,93,70,93
686,2015,4,Neuquén,105,20,107
687,2015,4,Río Negro,99,10,100
688,2015,4,Salta,102,30,102
689,2015,4,San Juan,51,6210,52
690,2015,4,San Luis,13,3170,13
691,2015,4,Santa Cruz,26,3560,26
692,2015,4,Santa Fe,561,6270,562
693,2015,4,Santiago Del Estero,39,30,39
694,2015,4,Tierra Del Fuego,29,6190,30
695,2015,4,Tucumán,146,420,146
696,2015,3,Buenos Aires,3,130,3
697,2015,3,Capital Federal,1,100,1
698,2015,3,Catamarca,26,130,26
