Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2016,4,Santa Fe,52.19,20,6
2016,4,Santiago Del Estero,15.07,21,6
2016,4,Tierra Del Fuego,70.31,22,6
2016,4,Tucumán,37.98,23,6
2016,3,Buenos Aires,60.14,0,6
2016,3,Capital Federal,120.77,1,6
2016,3,Catamarca,26.48,2,6
2016,3,Chaco,28.91,3,6
2016,3,Chubut,36.18,4,6
2016,3,Córdoba,58.24,5,6
2016,3,Corrientes,31.07,6,6
2016,3,Entre Ríos,45.44,7,6
2016,3,Formosa,18.64,8,6
2016,3,Jujuy,22.61,9,6
2016,3,La Pampa,61.73,10,6
2016,3,La Rioja,17.07,11,6
2016,3,Mendoza,32.09,12,6
2016,3,Misiones,29.91,13,6
2016,3,Neuquén,60.21,14,6
2016,3,Río Negro,46.39,15,6
2016,3,Salta,32.96,16,6
2016,3,San Juan,27.32,17,6
2016,3,San Luis,9.63,18,6
2016,3,Santa Cruz,26.84,19,6
2016,3,Santa Fe,52.67,20,6
2016,3,Santiago Del Estero,15.33,21,6
2016,3,Tierra Del Fuego,68.94,22,6
2016,3,Tucumán,37.9,23,6
2016,2,Buenos Aires,59.34,0,6
2016,2,Capital Federal,120.04,1,6
2016,2,Catamarca,26.07,2,6
2016,2,Chaco,28.59,3,6
2016,2,Chubut,36.12,4,6
2016,2,Córdoba,57.55,5,6
2016,2,Corrientes,30.58,6,6
2016,2,Entre Ríos,44.74,7,6
2016,2,Formosa,19.37,8,6
2016,2,Jujuy,21.89,9,6
2016,2,La Pampa,60.44,10,6
2016,2,La Rioja,16.88,11,6
2016,2,Mendoza,32.13,12,6
2016,2,Misiones,29.24,13,6
2016,2,Neuquén,59.1,14,6
2016,2,Río Negro,46.24,15,6
2016,2,Salta,32.08,16,6
2016,2,San Juan,27.34,17,6
2016,2,San Luis,9.6,18,6
2016,2,Santa Cruz,26.73,19,6
2016,2,Santa Fe,52.44,20,6
2016,2,Santiago Del Estero,15.89,21,6
2016,2,Tierra Del Fuego,67.72,22,6
2016,2,Tucumán,37.24,23,6
2016,1,Buenos Aires,57.34,0,6
2016,1,Capital Federal,115.16,1,6
2016,1,Catamarca,25.91,2,6
2016,1,Chaco,28.08,3,6
2016,1,Chubut,36.09,4,6
2016,1,Córdoba,55.28,5,6
2016,1,Corrientes,30.08,6,6
2016,1,Entre Ríos,43.85,7,6
2016,1,Formosa,19.04,8,6
2016,1,Jujuy,21.41,9,6
2016,1,La Pampa,57.84,10,6
2016,1,La Rioja,16.83,11,6
2016,1,Mendoza,32.12,12,6
2016,1,Misiones,28.37,13,6
2016,1,Neuquén,55.75,14,6
2016,1,Río Negro,45.84,15,6
2016,1,Salta,31.32,16,6
2016,1,San Juan,27.33,17,6
2016,1,San Luis,9.59,18,6
2016,1,Santa Cruz,26.87,19,6
2016,1,Santa Fe,51.28,20,6
